Hash Table Data for Set A

Insertion Performance: 
0
183
382
596
806
1026
1214
1411
1642
1869
2099
2321
2534
2769
2993
3218
3453
3670
3893
4107
4329
4558
4794
5012
5234
5452
5663
5875
6098
6319
6519
6747
6956
7186
7390
7607
7802
7944
8136
8363
8569
8781
9010
9225
9450
9668
9895
10136
10379
10581
10794
11003
11172
11372
11592
11820
12054
12287
12520
12751
13003
13232
13453
13661
13860
14081
14293
14487
14722
14933
15152
15357
15567
15768
15986
16207
16444
16662
16868
17084
17300
17516
17744
17956
18180
18430
18666
18884
19095
19309
19521
19730
19954
20195
20427
20641
20844
21040
21272
21492
21726
21942
22140
22363
22587
22808
23022
23241
23468
23686
23912
24150
24344
24576
24794
25004
25215
25429
25639
25863
26090
26288
26510
26715
26928
27139
27336
27540
27754
27973
28200
28408
28627
28839
29077
29305
29546
29779
30002
30225
30442
30675
30912
31145
31353
31593
31818
32046
32275
32483
32708
32932
33171
33392
33605
33834
34040
34248
34472
34698
34922
35154
35394
35628
35834
36045
36271
36485
36710
36941
37166
37394
37593
37756
37950
38172
38402
38613
38805
39031
39233
39459
39701
39919
40147
40374
40615
40847
41041
41234
41444
41663
41890
42107
42329
42552
42767
42985
43195
43411
43640
43857
44072
44296
44488
44680
44907
45124
45340
45558
45767
45987
46207
46426
46662
46871
47071
47259
47453
47628
47802
48011
48225
48436
48647
48851
49063
49270
49486
49696
49895
50108
50324
50532
50736
50943
51148
51355
51561
51772
52002
52218
52417
52626
52828
53042
53251
53454
53663
53870
54074
54260
54469
54674
54837
55036
55243
55450
55661
55871
56081
56290
56496
56697
56905
57099
57314
57539
57739
57943
58146
58352
58563
58767
58974
59179
59388
59592
59810
60020
60245
60464
60683
60894
61086
61284
61505
61717
61924
62132
62335
62551
62784
63002
63209
63413
63622
63834
64045
64243
64453
64676
64880
65099
65314
65541
65737
65957
66165
66383
66593
66802
67020
67246
67467
67674
67893
68120
68358
68576
68785
69009
69230
69433
69650
69859
70098
70322
70548
70761
70971
71181
71405
71632
71861
72100
72330
72567
72800
73032
73261
73484
73725
73957
74185
74422
74660
74894
75103
75318
75552
75769
75980
76194
76364
76576
76788
77003
77226
77461
77791
78066
78284
78525
78765
79048
79289
79595
79799
80034
80273
80506
80715
80918
81108
81298
81510
81724
81956
82188
82395
82606
82830
83067
83298
83528
83750
83981
84188
84405
84642
84869
85052
85272
85496
85705
85989
86267
86414

Search Performance: 
0
183
382
596
806
1026
1214
1411
1642
1869
2099
2321
2534
2769
2993
3218
3453
3670
3893
4107
4329
4558
4794
5012
5234
5452
5663
5875
6098
6319
6519
6747
6956
7186
7390
7607
7802
7944
8136
8363
8569
8781
9010
9225
9450
9668
9895
10136
10379
10581
10794
11003
11172
11372
11592
11820
12054
12287
12520
12751
13003
13232
13453
13661
13860
14081
14293
14487
14722
14933
15152
15357
15567
15768
15986
16207
16444
16662
16868
17084
17300
17516
17744
17956
18180
18430
18666
18884
19095
19309
19521
19730
19954
20195
20427
20641
20844
21040
21272
21492
21726
21942
22140
22363
22587
22808
23022
23241
23468
23686
23912
24150
24344
24576
24794
25004
25215
25429
25639
25863
26090
26288
26510
26715
26928
27139
27336
27540
27754
27973
28200
28408
28627
28839
29077
29305
29546
29779
30002
30225
30442
30675
30912
31145
31353
31593
31818
32046
32275
32483
32708
32932
33171
33392
33605
33834
34040
34248
34472
34698
34922
35154
35394
35628
35834
36045
36271
36485
36710
36941
37166
37394
37593
37756
37950
38172
38402
38613
38805
39031
39233
39459
39701
39919
40147
40374
40615
40847
41041
41234
41444
41663
41890
42107
42329
42552
42767
42985
43195
43411
43640
43857
44072
44296
44488
44680
44907
45124
45340
45558
45767
45987
46207
46426
46662
46871
47071
47259
47453
47628
47802
48011
48225
48436
48647
48851
49063
49270
49486
49696
49895
50108
50324
50532
50736
50943
51148
51355
51561
51772
52002
52218
52417
52626
52828
53042
53251
53454
53663
53870
54074
54260
54469
54674
54837
55036
55243
55450
55661
55871
56081
56290
56496
56697
56905
57099
57314
57539
57739
57943
58146
58352
58563
58767
58974
59179
59388
59592
59810
60020
60245
60464
60683
60894
61086
61284
61505
61717
61924
62132
62335
62551
62784
63002
63209
63413
63622
63834
64045
64243
64453
64676
64880
65099
65314
65541
65737
65957
66165
66383
66593
66802
67020
67246
67467
67674
67893
68120
68358
68576
68785
69009
69230
69433
69650
69859
70098
70322
70548
70761
70971
71181
71405
71632
71861
72100
72330
72567
72800
73032
73261
73484
73725
73957
74185
74422
74660
74894
75103
75318
75552
75769
75980
76194
76364
76576
76788
77003
77226
77461
77791
78066
78284
78525
78765
79048
79289
79595
79799
80034
80273
80506
80715
80918
81108
81298
81510
81724
81956
82188
82395
82606
82830
83067
83298
83528
83750
83981
84188
84405
84642
84869
85052
85272
85496
85705
85989
86267
86414
