BST Data for Set B

Insertion Performance: 
0
1
1
2
3
4
5
5
6
7
8
9
10
11
12
13
13
14
15
16
17
18
19
21
22
23
24
26
27
28
29
31
32
33
35
36
38
39
40
41
43
44
46
48
49
50
51
52
53
54
55
56
56
57
58
59
60
61
62
63
65
66
68
69
70
72
73
75
76
77
79
80
81
82
84
85
87
89
91
92
94
96
97
99
100
101
103
104
107
109
111
113
115
117
120
122
124
126
129
131
133
136
138
140
143
145
148
150
153
156
160
162
165
167
169
172
174
177
179
181
184
186
189
192
196
200
204
209
213
217
220
224
228
232
236
241
245
250
255
260
265
270
275
280
284
290
295
300
305
311
316
322
328
333
340
346
352
358
363
370
376
382
388
393
399
406
412
418
425
432
438
444
451
457
464
471
477
484
491
498
505
512
519
526
534
542
550
558
566
574
581
590
598
606
614
622
630
639
647
655
664
672
681
689
697
706
715
723
731
740
749
758
767
775
784
793
802
811
821
830
839
848
858
868
878
888
897
907
917
925
934
941
951
961
970
978
987
996
1004
1013
1021
1029
1040
1049
1057
1065
1074
1084
1094
1104
1114
1124
1134
1145
1155
1166
1177
1188
1198
1209
1221
1232
1244
1255
1267
1280
1292
1303
1315
1327
1340
1351
1361
1371
1383
1393
1404
1415
1425
1432
1440
1450
1461
1472
1485
1499
1513
1527
1541
1553
1564
1576
1592
1605
1619
1631
1644
1657
1670
1682
1696
1709
1722
1736
1749
1762
1776
1790
1804
1817
1831
1845
1859
1872
1886
1900
1912
1924
1939
1954
1969
1985
1999
2014
2028
2043
2059
2074
2088
2103
2118
2132
2147
2162
2176
2191
2208
2223
2239
2255
2269
2285
2300
2316
2328
2342
2355
2368
2383
2393
2408
2422
2440
2456
2472
2488
2504
2521
2538
2554
2572
2589
2608
2625
2642
2659
2675
2695
2709
2721
2734
2750
2767
2784
2802
2820
2838
2852
2869
2885
2901
2916
2931
2947
2963
2979
2995
3010
3022
3037
3051
3072
3090
3102
3117
3130
3143
3158
3170

Search Performance: 
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
1
1
2
2
2
1
1
1
2
2
2
2
1
1
2
1
1
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
3
2
2
2
2
2
2
3
3
2
3
2
2
2
2
2
2
2
2
2
2
2
2
2
3
2
2
2
2
2
3
2
3
3
3
3
3
3
3
3
3
3
4
3
3
3
3
4
3
3
3
4
3
3
3
2
3
3
3
3
4
2
2
2
3
3
3
4
4
4
4
3
3
3
6
4
4
3
3
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
3
5
4
5
5
4
4
4
5
5
4
4
4
5
4
5
4
4
5
5
4
5
5
4
5
5
5
3
4
4
3
4
3
4
4
6
5
5
5
5
5
5
5
6
5
5
5
5
5
5
6
5
3
3
5
5
5
5
6
5
4
6
5
5
5
4
5
4
5
4
4
3
3
4
4
6
3
4
4
4
3
4
3
