Hash Table Data for Set B

Insertion Performance: 
0
155
299
457
652
818
969
1178
1353
1549
1703
1905
2064
2282
2442
2609
2819
3002
3217
3456
3700
3931
4159
4384
4617
4851
5085
5294
5503
5725
5948
6158
6367
6590
6824
7054
7276
7456
7665
7878
8086
8296
8502
8715
8925
9131
9364
9596
9818
10048
10282
10500
10717
10926
11099
11320
11553
11774
12010
12232
12453
12674
12899
13125
13359
13594
13838
14077
14307
14519
14731
14963
15190
15419
15629
15859
16073
16277
16486
16697
16924
17163
17396
17611
17825
18052
18265
18489
18716
18968
19220
19445
19677
19901
20126
20364
20610
20815
21019
21250
21461
21665
21876
22083
22292
22496
22723
22958
23172
23394
23627
23866
24083
24297
24513
24732
24945
25156
25390
25623
25853
26080
26302
26519
26747
26944
27152
27351
27556
27741
27946
28156
28366
28600
28816
29029
29249
29460
29674
29881
30067
30284
30492
30719
30941
31162
31405
31650
31864
32090
32282
32497
32700
32920
33132
33339
33558
33775
34000
34227
34454
34660
34871
35090
35303
35530
35751
35988
36204
36387
36553
36783
37026
37248
37459
37688
37922
38128
38318
38540
38772
39006
39232
39445
39656
39873
40105
40340
40556
40765
40996
41209
41420
41627
41834
42049
42288
42525
42743
42946
43178
43412
43641
43875
44089
44298
44543
44759
44976
45194
45402
45609
45816
46028
46230
46450
46665
46878
47087
47299
47530
47758
47994
48216
48413
48627
48842
49051
49250
49462
49672
49879
50094
50300
50508
50709
50926
51148
51363
51573
51795
51994
52202
52412
52623
52827
53034
53248
53484
53725
53963
54185
54412
54637
54878
55090
55311
55547
55759
55983
56199
56426
56641
56857
57067
57292
57504
57716
57929
58153
58380
58603
58835
59078
59309
59534
59749
59975
60207
60425
60648
60883
61115
61331
61552
61772
61987
62203
62414
62651
62865
63102
63316
63554
63794
64021
64249
64475
64685
64911
65150
65368
65587
65807
66016
66224
66441
66663
66888
67115
67329
67555
67772
67984
68208
68418
68617
68827
69049
69254
69467
69664
69900
70136
70347
70544
70755
70980
71197
71430
71647
71879
72106
72324
72531
72752
72977
73215
73445
73685
73914
74124
74347
74566
74783
74999
75208
75443
75675
75892
76119
76335
76562
76787
77012
77225
77444
77655
77880
78087
78294
78524
78760
78973
79199
79432
79667
79877
80103
80338
80572
80809
81046
81279
81508
81743
81953
82176
82400
82633
82850
83081
83313
83546
83785
84002
84208
84426
84617
84837
85058
85280
85499
85708
85930
86148
86385
86632
86865

Search Performance: 
0
155
299
457
652
818
969
1178
1353
1549
1703
1905
2064
2282
2442
2609
2819
3002
3217
3456
3700
3931
4159
4384
4617
4851
5085
5294
5503
5725
5948
6158
6367
6590
6824
7054
7276
7456
7665
7878
8086
8296
8502
8715
8925
9131
9364
9596
9818
10048
10282
10500
10717
10926
11099
11320
11553
11774
12010
12232
12453
12674
12899
13125
13359
13594
13838
14077
14307
14519
14731
14963
15190
15419
15629
15859
16073
16277
16486
16697
16924
17163
17396
17611
17825
18052
18265
18489
18716
18968
19220
19445
19677
19901
20126
20364
20610
20815
21019
21250
21461
21665
21876
22083
22292
22496
22723
22958
23172
23394
23627
23866
24083
24297
24513
24732
24945
25156
25390
25623
25853
26080
26302
26519
26747
26944
27152
27351
27556
27741
27946
28156
28366
28600
28816
29029
29249
29460
29674
29881
30067
30284
30492
30719
30941
31162
31405
31650
31864
32090
32282
32497
32700
32920
33132
33339
33558
33775
34000
34227
34454
34660
34871
35090
35303
35530
35751
35988
36204
36387
36553
36783
37026
37248
37459
37688
37922
38128
38318
38540
38772
39006
39232
39445
39656
39873
40105
40340
40556
40765
40996
41209
41420
41627
41834
42049
42288
42525
42743
42946
43178
43412
43641
43875
44089
44298
44543
44759
44976
45194
45402
45609
45816
46028
46230
46450
46665
46878
47087
47299
47530
47758
47994
48216
48413
48627
48842
49051
49250
49462
49672
49879
50094
50300
50508
50709
50926
51148
51363
51573
51795
51994
52202
52412
52623
52827
53034
53248
53484
53725
53963
54185
54412
54637
54878
55090
55311
55547
55759
55983
56199
56426
56641
56857
57067
57292
57504
57716
57929
58153
58380
58603
58835
59078
59309
59534
59749
59975
60207
60425
60648
60883
61115
61331
61552
61772
61987
62203
62414
62651
62865
63102
63316
63554
63794
64021
64249
64475
64685
64911
65150
65368
65587
65807
66016
66224
66441
66663
66888
67115
67329
67555
67772
67984
68208
68418
68617
68827
69049
69254
69467
69664
69900
70136
70347
70544
70755
70980
71197
71430
71647
71879
72106
72324
72531
72752
72977
73215
73445
73685
73914
74124
74347
74566
74783
74999
75208
75443
75675
75892
76119
76335
76562
76787
77012
77225
77444
77655
77880
78087
78294
78524
78760
78973
79199
79432
79667
79877
80103
80338
80572
80809
81046
81279
81508
81743
81953
82176
82400
82633
82850
83081
83313
83546
83785
84002
84208
84426
84617
84837
85058
85280
85499
85708
85930
86148
86385
86632
86865
